HOLE_ID,EASTING,NORTHING,ELEVATION,TD,PROJECT_FK,START_DATE,END_DATE,GEOLOGIST_NAME,GEOLOGY_GROUP
ADD-13004,2409950.64,4806256.003,792.782,202,DA,16-06-2013 0:00,18-06-2013 0:00,Pedro Larrahona,CerroNegro
BAN-0002,2395382.81,4808041.55,624.01,157.4,EK,02-02-2014 0:00,05-02-2014 0:00,Cintia San Martin,CN_INFILL
BDD-13008,2407899.442,4804436.161,907.816,301.5,BNE,13-05-2013 0:00,24-05-2013 0:00,Lucas Alvarez,CerroNegro
BDD-13016,2408020.267,4804381.734,909.225,289.5,BNE,21-06-2013 0:00,23-06-2013 0:00,Pedro Larrahona,CerroNegro
BDD-13023,2408220.276,4804196.619,893.779,391.5,BNE,28-06-2013 0:00,01-07-2013 0:00,Ramiro Deus,CerroNegro
BDD-14017,2407902.234,4804407.833,906.539,220,BNE,10-11-2014 0:00,14-11-2014 0:00,Matias Albarracin,CerroNegro
BDD-14034,2408044.099,4804445.754,913.102,379.5,BNE,08-12-2014 0:00,,Gerardo Enrique Perez,CerroNegro
BDD-14035,2407347.275,4805009.943,904.626,265.5,BNE,09-12-2014 0:00,13-12-2014 0:00,Matias Albarracin,CerroNegro
BDD-15001,2408101.794,4804281.546,902.769,319.5,BNE,12-01-2015 0:00,16-02-2015 0:00,Diego Grill,CerroNegro
BDD-15004,2407247.221,4805344.542,922.17,484,BNE,13-01-2015 0:00,20-01-2015 0:00,Matias Reinoso,CerroNegro
BDD-15006,2408211.688,4804302.978,891.036,427,BNE,19-01-2015 0:00,24-01-2015 0:00,Matias Reinoso,CerroNegro
BDD-15017,2407314.26,4804961.51,901.57,104.9,BNE,20-02-2015 0:00,21-02-2015 0:00,Matias Reinoso,CerroNegro
BDD-15029,2408167.11,4804336.53,902.222,412,BNE,10-03-2015 0:00,16-03-2015 0:00,Matias Reinoso,CerroNegro
BDD-15038,2407614.573,4805154.163,906.205,523.5,BNE,05-04-2015 0:00,10-04-2015 0:00,Matias Albarracin,CerroNegro
BDD-15044,2407553.496,4805073.452,901.227,431,BNE,11-04-2015 0:00,14-04-2015 0:00,Matias Reinoso,CerroNegro
BDD-15045,2407564.57,4805243.81,900.9,632,BNE,16-04-2015 0:00,22-04-2015 0:00,Matias Reinoso,CerroNegro
BDD-15046,2408084.83,4804243.77,902.12,328.5,BNE,18-04-2015 0:00,21-04-2015 0:00,Matias Reinoso,CerroNegro
BDD-15051,2408240.48,4804205.64,888.475,401,BNE,26-04-2015 0:00,30-04-2015 0:00,Gerardo Enrique Perez,CerroNegro
BDD-15073,2408249.855,4804293.42,886.496,242,BNE,22-05-2015 0:00,27-05-2015 0:00,Marcelo Ghidini,CerroNegro
BDD-15076,2408114.8,4804330.95,905.22,460,BNE,06-06-2015 0:00,10-06-2015 0:00,Matias Reinoso,CerroNegro
BDD-15085,2407632.485,4805136.766,907.997,499.5,BNE,23-07-2015 0:00,29-07-2015 0:00,Matias Albarracin,CerroNegro
BDD-17007,2407259.072,4805071.452,907.142,239,BNE,27-02-2017 0:00,01-03-2017 0:00,Matias Albarracin,CerroNegro
BDD-17015,2407259.866,4805127.255,915.531,179,BNE,23-03-2017 0:00,24-03-2017 0:00,Matias Albarracin,CerroNegro
BDD-17023,2407302.572,4804791.714,886.084,356,BNE,07-06-2017 0:00,14-06-2017 0:00,Matias Reinoso,CerroNegro
BDD-18005,2407886.733,4804064.821,885.449,440,BNE,22-10-2018 0:00,,Carla de la Rosa,CerroNegro
BDD-19009,2407291.093,4805443.843,905.829,416,BNE,12-04-2019 0:00,18-04-2019 0:00,Conrado Gianni,CerroNegro
BDD-19020,2406919.856,4805558.712,860.347,395,BNE,09-06-2019 0:00,,,CerroNegro
BDD-19031,2406869.695,4805580.87,844.191,371,BNE,10-07-2019 0:00,15-07-2019 0:00,Carla de la Rosa,CerroNegro
BDD-19034,2406826.11,4805530.32,853.535,320,BNE,18-07-2019 0:00,25-07-2019 0:00,Gaston Relañez,CerroNegro
BDD-19037,2406913.58,4805550.59,860.422,355,BNE,09-08-2019 0:00,17-08-2019 0:00,Carla de la Rosa,CerroNegro
BDD-9104,2407505.28,4804886.63,890.22,150,BNE,11-11-2009 0:00,12-11-2009 0:00,Fabian Ontivero,CerroNegro
BDD-9107,2407436.62,4804796.07,887.09,73,BNE,14-11-2009 0:00,15-11-2009 0:00,Fabian Ontivero,CerroNegro
BDD-9111,2407405.85,4804976.5,901.73,171.2,BNE,18-11-2009 0:00,20-11-2009 0:00,Analia Bruna,CerroNegro
BDD-13005,2407806.354,4804392.953,902.312,205.5,BNE,11-05-2013 0:00,13-05-2013 0:00,Ramiro Deus,CerroNegro
BDD-13010,2407171.631,4805806.599,863.652,472,BNE,28-05-2013 0:00,07-06-2013 0:00,Lucía Vittone,CerroNegro
BDD-13019,2408149.038,4804275.876,900.048,415.5,BNE,24-06-2013 0:00,28-06-2013 0:00,Pedro Larrahona,CerroNegro
BDD-14010,2408041.839,4804224.425,900.868,205,BNE,24-10-2014 0:00,26-10-2014 0:00,Matias Reinoso,CerroNegro
BDD-14041,2408074.562,4804212.32,900.026,247,BNE,16-12-2014 0:00,,Gerardo Enrique Perez,CerroNegro
BDD-15009,2407667.385,4804822.078,893.127,298.5,BNE,27-01-2015 0:00,02-02-2015 0:00,Matias Albarracin,CerroNegro
BDD-15014,2407468.91,4805227.85,909.4,681,BNE,08-02-2015 0:00,19-02-2015 0:00,Matias Reinoso,CerroNegro
BDD-15019,2407383.23,4804884.81,897.95,100,BNE,20-02-2015 0:00,21-02-2015 0:00,Matias Reinoso,CerroNegro
BDD-15020,2407648.6,4804481.75,896.88,94.5,BNE,20-02-2015 0:00,21-02-2015 0:00,Diego Grill,CerroNegro
BDD-15021,2407812.88,4804834.41,909.239,518,BNE,20-02-2015 0:00,04-03-2015 0:00,Marcelo Ghidini,CerroNegro
BDD-15031,2408251.482,4804270.226,890.898,391.5,BNE,18-03-2015 0:00,21-03-2015 0:00,Matias Reinoso,CerroNegro
BDD-15035,2407553.496,4805073.452,901.227,546.5,BNE,28-03-2015 0:00,04-04-2015 0:00,Gerardo Enrique Perez,CerroNegro
BDD-15036,2407484.349,4805153.369,906.596,433.5,BNE,27-03-2015 0:00,03-04-2015 0:00,Marcelo Ghidini,CerroNegro
BDD-15048,2407451.2,4805243.6,911.74,562.5,BNE,18-04-2015 0:00,24-04-2015 0:00,Matias Reinoso,CerroNegro
BDD-15054,2407299.92,4805335.17,925.06,37,BNE,29-04-2015 0:00,29-04-2015 0:00,Gerardo Enrique Perez,CerroNegro
BDD-15058,2408149.866,4804275.151,900.576,61,BNE,06-05-2015 0:00,07-05-2015 0:00,Matias Reinoso,CerroNegro
BDD-15079,2407570.655,4805095.76,903.141,151.5,BNE,14-06-2015 0:00,16-06-2015 0:00,Matias Reinoso,CerroNegro
BDD-16005,2407017.04,4806467.53,824.17,250,BNE,07-12-2016 0:00,09-12-2016 0:00,Marcelo Ghidini,CerroNegro
BDD-16006,2406774.5,4807332.32,812.51,250,BNE,10-12-2016 0:00,12-12-2016 0:00,Marcelo Ghidini,CerroNegro
BDD-17010,2407239.861,4805035.019,899.185,269,BNE,06-03-2017 0:00,08-03-2017 0:00,Matias Albarracin,CerroNegro
BDD-17018,2407274.358,4805155.663,919.68,154.5,BNE,02-05-2017 0:00,04-05-2017 0:00,Matias Reinoso,CerroNegro
BDD-17019,2407246.631,4805148.579,915.307,214.5,BNE,06-05-2017 0:00,08-05-2017 0:00,Matias Reinoso,CerroNegro
BDD-17024,2407193.616,4805234.49,917.656,191,BNE,03-07-2017 0:00,04-07-2017 0:00,Matias Albarracin,CerroNegro
BDD-17027,2406038.257,4805956.689,766.8362,346.5,BNE,30-10-2017 0:00,04-11-2017 0:00,Lucas Suarez,CerroNegro
BDD-18002,2407526.813,4804101.708,878.773,429.8,BNE,22-09-2018 0:00,03-10-2018 0:00,Carla de la Rosa,CerroNegro
BDD-19010,2407238.071,4805483.207,898.483,407,BNE,13-04-2019 0:00,18-04-2019 0:00,Gaston Relañez,CerroNegro
BDD-19014,2407108.225,4805284.101,913.91,370.5,BNE,04-05-2019 0:00,,Carla de la Rosa,CerroNegro
BDD-19016,2406664.113,4805645.03,860.176,500,BNE,15-05-2019 0:00,22-05-2019 0:00,Carla de la Rosa,CerroNegro
BDD-19021,2406918.7,4805559.442,860.355,421.5,BNE,14-06-2019 0:00,,Carla de la Rosa,CerroNegro
BDD-19030,2406628.513,4805673.055,853.44,339,BNE,02-07-2019 0:00,09-07-2019 0:00,Nelson German Estevez,CerroNegro
BDD-19035,2406788.981,4805556.355,863.365,381,BNE,25-07-2019 0:00,,Carla de la Rosa,CerroNegro
BDD-9100,2407458.01,4804865.35,891.56,150,BNE,09-11-2009 0:00,11-11-2009 0:00,Daniel Correa,CerroNegro
BAN-0001,2395380.12,4808041.97,624.06,128,EK,25-01-2014 0:00,01-02-2014 0:00,Debora Sugamiele,CN_INFILL
BDD-13007,2407034.15,4805746.76,867.238,484,BNE,13-05-2013 0:00,25-05-2013 0:00,Lucía Vittone,CerroNegro
BDD-13014,2407982.028,4804467.813,914.7,352.5,BNE,20-06-2013 0:00,22-06-2013 0:00,Verónica Martinez,CerroNegro
BDD-14006,2408044.094,4804280.722,903.31,222.5,BNE,19-10-2014 0:00,20-10-2014 0:00,Gerardo Enrique Perez,CerroNegro
